,band_singer,ranking,song,title,genre,year,active_years
51,Franck Pourcel,52,Only You (And You Alone),Only You (And You Alone),['Doo-wop'],1959,1952–1995
52,Billy Grammer,53,Gotta Travel On,Gotta Travel On,['Country'],1959,1959–1969
53,The Coasters,54,Poison Ivy,Poison Ivy,['Rock and roll'],1959,1955–present
54,Fabian,55,Turn Me Loose,Turn Me Loose,['Rock and roll'],1959,1957–present
55,Jackie Wilson,56,Lonely Teardrops,Lonely Teardrops,['Rhythm & Blues'],1959,1953–1975
56,Andy Williams,57,Hawaiian Wedding Song,Hawaiian Wedding Song,['Traditional pop music'],1959,1938–2012
57,Duane Eddy,58,Forty Miles of Bad Road,Forty Miles of Bad Road,['Instrumental rock'],1959,1954–present
58,Frankie Avalon,59,Just Ask Your Heart,Just Ask Your Heart,['Pop'],1959,1952–present
59,Travis and Bob,60,Tell Him No,Tell Him No,[],1959,
60,Connie Francis,61,Frankie,Frankie,['Pop'],1959,1943–2018
61,The Bell Notes,62,"[""I've Had It""]",I've Had It,['Rock and roll'],1959,
62,LaVern Baker,63,I Cried a Tear,I Cried a Tear,['R&B'],1959,1946–1991
63,The Platters,64,Enchanted,Enchanted,['R&B'],1959,1952–present
64,The Skyliners,65,"[""Since I Don't Have You""]",Since I Don't Have You,['Doo-wop'],1959,1958–1966 1974–present
65,Ray Anthony,66,Peter Gunn Theme,Peter Gunn Theme,['Instrumental theme music'],1959,1936–present
66,The Chipmunks,67,"[""The Chipmunk Song (Christmas Don't Be Late)""]",The Chipmunk Song (Christmas Don't Be Late),['Christmaspopnovelty'],1959,1958–1972 1979–present
67,Fats Domino,68,I Want to Walk You Home,I Want to Walk You Home,['R&BPop'],1959,1942–2017
68,The Fiestas,69,So Fine,So Fine,['Doo-wop'],1959,
69,Frankie Avalon,70,Bobby Sox to Stockings,Bobby Sox to Stockings,['Pop'],1959,1952–present
70,Wink Martindale,71,The Deck of Cards,The Deck of Cards,[],1959,1951–present
71,Clyde McPhatter,72,"[""A Lover's Question""]",A Lover's Question,['Soul'],1959,1950–1972
72,The Flamingos,73,I Only Have Eyes for You,I Only Have Eyes for You,"['Doo-wop', 'pop', 'rock and roll']",1959,1953–present
73,Ricky Nelson,74,"[""It's Late""]",It's Late,['Rock and roll'],1959,1949–1985
74,"[""Chris Barber's Jazz Band""]",75,Petite Fleur,Petite Fleur,[],1959,1950-2019
75,Annette Funicello,76,Tall Paul,Tall Paul,[],1959,1954–1998
76,The Kingston Trio,77,The Tijuana Jail,The Tijuana Jail,['Folk'],1959,1957
77,Ricky Nelson,78,Just a Little Too Much,Just a Little Too Much,['Rock and roll'],1959,1949–1985
78,Jack Scott,79,Goodbye Baby,Goodbye Baby,['Rockabilly'],1959,1957–2019
79,The Coasters,80,Along Came Jones,Along Came Jones,['Rock and roll'],1959,1955–present
80,Tommy Dee,81,Three Stars,Three Stars,[],1959,
81,Frankie Avalon,82,A Boy Without a Girl,A Boy Without a Girl,['Pop'],1959,1952–present
82,Ricky Nelson,83,Sweeter Than You,Sweeter Than You,['Ballad'],1959,1949–1985
83,Skip & Flip,84,It Was I,It Was I,['Rock and roll'],1959,
84,Kathy Linden,85,"Goodbye Jimmy, Goodbye","Goodbye Jimmy, Goodbye",['Pop'],1959,
85,Reg Owen Orchestra,86,Manhattan Spiritual,Manhattan Spiritual,['Big band'],1959,
86,Brook Benton,87,Endlessly,Endlessly,['Soul'],1959,1948–1988
87,Guy Mitchell,88,Heartaches by the Number,Heartaches by the Number,['Traditional pop'],1959,1947–1999
88,Frankie Ford,89,Sea Cruise,Sea Cruise,['Rock and roll'],1959,1957–2015
89,Jackie Wilson,90,"[""That's Why (I Love You So)""]",That's Why (I Love You So),['Soul'],1959,1953–1975
90,The Falcons,91,"[""You're So Fine""]",You're So Fine,['R&B'],1959,
91,Bobby Rydell,92,"[""Kissin' Time""]",Kissin' Time,"['Hard rock', 'glam rock']",1959,1950–2022
92,Elvis Presley,93,My Wish Came True,My Wish Came True,['Pop'],1959,1953–1977
93,Ivo Robić,94,Morgen,Morgen,['Traditional pop'],1959,1943–2000
94,Jan and Dean,95,Baby Talk,Baby Talk,"['Doo-wop', 'California Sound']",1959,1958–1968 1973 1976–2004
95,The Everly Brothers,96,Take a Message to Mary,Take a Message to Mary,['Pop'],1959,1951–1973 1983–2005
96,Mormon Tabernacle Choir,97,The Battle Hymn of the Republic,The Battle Hymn of the Republic,['Choral'],1959,
97,Preston Epps,98,Bongo Rock,Bongo Rock,['Instrumental rock'],1959,
98,Ernie Fields,99,In the Mood,In the Mood,"['Big band', 'swing']",1959,
99,Paul Evans,100,Seven Little Girls Sitting in the Back Seat,Seven Little Girls Sitting in the Back Seat,['Rock and roll'],1959,1953–present
100,Percy Faith,1,Theme from A Summer Place,Theme from A Summer Place,['Easy listening'],1960,
101,Jim Reeves,2,"[""He'll Have to Go""]",He'll Have to Go,"['Country', 'Nashville Sound']",1960,1948–1964
102,The Everly Brothers,3,"[""Cathy's Clown""]",Cathy's Clown,['Pop'],1960,1951–1973 1983–2005
103,Johnny Preston,4,Running Bear,Running Bear,[],1960,1959–2009
104,Mark Dinning,5,Teen Angel,Teen Angel,['Pop'],1960,
105,Brenda Lee,6,"[""I'm Sorry""]",I'm Sorry,"['Pop', 'country']",1960,1951–present
106,Elvis Presley,7,"[""It's Now or Never""]",It's Now or Never,['Pop'],1960,1953–1977
107,Jimmy Jones,8,Handy Man,Handy Man,['Rock and roll'],1960,1954–2012
108,Elvis Presley,9,Stuck on You,Stuck on You,"['Rock and roll', 'pop', 'rhythm and blues']",1960,1953–1977
109,Chubby Checker,10,The Twist,The Twist,"['Rock and roll', 'pop']",1960,1958–present
110,Connie Francis,11,s Somebody,Everybody's Somebody's Fool,['Pop'],1960,1943–2018
111,Bobby Rydell,12,Wild One,Wild One,['Rock and roll'],1960,1950–2022
112,The Brothers Four,13,Greenfields,Greenfields,['Folk'],1960,1957–present
113,Jack Scott,14,"[""What in the World's Come Over You""]",What in the World's Come Over You,['Rockabilly'],1960,1957–2019
114,Marty Robbins,15,El Paso,El Paso,"['Country', 'Tex-Mex']",1960,1948–1982
115,The Hollywood Argyles,16,Alley Oop,Alley Oop,"['Rock and roll', 'doo-wop', 'novelty']",1960,
116,Connie Francis,17,My Heart Has a Mind of Its Own,My Heart Has a Mind of Its Own,['Pop'],1960,1943–2018
117,Brenda Lee,18,"[""Sweet Nothin's""]",Sweet Nothin's,"['Rockabilly', 'teen pop']",1960,1951–present
118,Brian Hyland,19,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,['Bubblegum pop'],1960,1959–present
119,Roy Orbison,20,Only the Lonely,Only the Lonely,"['Rock', 'pop', 'rock and roll']",1960,1953–1988
120,Dion and the Belmonts,21,Where or When,Where or When,['Showtune'],1960,1957–1960 1966 1972 1973
121,Connie Stevens,22,Sixteen Reasons,Sixteen Reasons,['Traditional pop'],1960,1957–present
122,Paul Anka,23,Puppy Love,Puppy Love,['Pop'],1960,1955–present
123,Frankie Avalon,24,Why,Why,['Pop'],1960,1952–present
124,The Ventures,25,"[""Walk, Don't Run""]","Walk, Don't Run","['Instrumental rock', 'surf rock']",1960,1958–present
125,The Drifters,26,Save the Last Dance for Me,Save the Last Dance for Me,['Popsoul'],1960,1953–present
126,Dinah Washington,27,"[""Baby (You've Got What It Takes)""]",Baby (You've Got What It Takes),['R&B'],1960,1941 1948–1988
127,Johnny Horton,28,Sink the Bismarck,Sink the Bismarck,"['Country', 'Novelty']",1960,1950–1960
128,Sam Cooke,29,Chain Gang,Chain Gang,"['Rhythm and blues', 'soul']",1960,1951–1964
129,The Everly Brothers,30,Let It Be Me,Let It Be Me,['Pop'],1960,1951–1973 1983–2005
130,Jimmy Jones,31,"[""Good Timin'""]",Good Timin',['R&B'],1960,1954–2012
131,Bobby Darin,32,Beyond the Sea,Beyond the Sea,['Big band'],1960,1956–1973
132,Jimmy Clanton,33,"Go, Jimmy, Go","Go, Jimmy, Go",['Rock and roll'],1960,1956–present
133,Jackie Wilson,34,"""Night""","""Night""",['Pop'],1960,1953–1975
134,Jack Scott,35,Burning Bridges,Burning Bridges,['Country'],1960,1957–2019
135,Toni Fisher,36,The Big Hurt,The Big Hurt,['Pop'],1960,
136,Duane Eddy,37,"[""Because They're Young""]",Because They're Young,"['Instrumental rock', 'rock and roll']",1960,1954–present
137,Conway Twitty,38,Lonely Blue Boy,Lonely Blue Boy,['Rockabilly'],1960,1955–1993
138,Steve Lawrence,39,Pretty Blue Eyes,Pretty Blue Eyes,['Pop'],1960,1953–2019
139,Freddy Cannon,40,"""Way Down Yonder in New Orleans""","""Way Down Yonder in New Orleans""",[],1960,1956–present
140,Anita Bryant,41,Paper Roses,Paper Roses,['Traditional pop'],1960,1956–present
141,Larry Verne,42,Mr. Custer,Mr. Custer,['Novelty'],1960,1960–1963
142,Brenda Lee,43,I Want to Be Wanted,I Want to Be Wanted,['Pop'],1960,1951–present
143,The Fendermen,44,Mule Skinner Blues,Mule Skinner Blues,['Hillbilly (Country)  Country blues'],1960,1959-1963
144,Johnny Preston,45,Cradle of Love,Cradle of Love,['Rock and roll'],1960,1959–2009
145,Marv Johnson,46,You Got What It Takes,You Got What It Takes,['R&B'],1960,1956–1993
146,Hank Locklin,47,"[""Please Help Me, I'm Falling""]","Please Help Me, I'm Falling",['Country'],1960,1947–2007
147,Ron Holden,48,Love You So,Love You So,['R&B'],1960,1958–1997
148,Hank Ballard,49,"[""Finger Poppin' Time""]",Finger Poppin' Time,['R&B'],1960,1951–2003
149,The Platters,50,Harbor Lights,Harbor Lights,[],1960,1952–present
150,Billy Bland,51,Let the Little Girl Dance,Let the Little Girl Dance,['R&B'],1960,1948–1965
151,Jeanne Black,52,"[""He'll Have to Stay""]",He'll Have to Stay,['Country'],1960,1956
152,Ferrante & Teicher,53,[None],None,['Easy listening'],1960,1947–1989
153,Bobby Rydell,54,Volare,Volare,['Pop'],1960,1950–2022
154,Jimmy Charles,55,A Million to One,A Million to One,[],1960,
155,Andy Williams,56,The Village of St. Bernadette,The Village of St. Bernadette,['Easy Listening'],1960,1938–2012
156,"[""Bill Black's Combo""]",57,White Silver Sands,White Silver Sands,['Traditional pop'],1960,1954
157,The Browns,58,The Old Lamp-Lighter,The Old Lamp-Lighter,['Countrypolitan'],1960,1954–1968
158,Bobby Vee,59,Devil or Angel,Devil or Angel,['R&B'],1960,1959–2014
159,The Four Preps,60,Down by the Station,Down by the Station,[],1960,1956–present
160,[],61,Forever,Forever,['Easy listening'],1960,
161,The Safaris,62,Image of a Girl,Image of a Girl,['Doo-wop'],1960,1959–1963
162,Brook Benton,63,Kiddio,Kiddio,[],1960,1948–1988
163,Donnie Brooks,64,Mission Bell,Mission Bell,['Pop'],1960,
164,Marv Johnson,65,I Love the Way You Love,I Love the Way You Love,['R&B'],1960,1956–1993
165,Paul Anka,66,"""It's Time to Cry""","""It's Time to Cry""",[],1960,1955–present
166,Ray Peterson,67,Tell Laura I Love Her,Tell Laura I Love Her,['Pop'],1960,1958–2004
167,Connie Francis,68,Mama,Mama,['Pop'],1960,1943–2018
168,Steve Lawrence,69,Footsteps,Footsteps,['Pop'],1960,1953–2019
169,The Everly Brothers,70,So Sad,So Sad,['Pop'],1960,1951–1973 1983–2005
170,Brenda Lee,71,"[""That's All You Gotta Do""]",That's All You Gotta Do,['Rockabilly'],1960,1951–present
171,Fats Domino,72,Walking to New Orleans,Walking to New Orleans,['R&B'],1960,1942–2017
172,Connie Francis,73,Among My Souvenirs,Among My Souvenirs,['Popular music'],1960,1943–2018
173,Bobby Rydell,74,"[""Swingin' School""]",Swingin' School,['Rock and roll'],1960,1950–2022
174,Dinah Washington,75,"[""A Rockin' Good Way (To Mess Around and Fall in Love)""]",A Rockin' Good Way (To Mess Around and Fall in Love),['Soul'],1960,1941 1948–1988
175,Neil Sedaka,76,Stairway to Heaven,Stairway to Heaven,['Pop'],1960,1957–present
176,Paul Anka,77,My Home Town,My Home Town,['Pop'],1960,1955–present
177,Ray Charles,78,Georgia on My Mind,Georgia on My Mind,['Traditional pop'],1960,1947–2004
178,Skip and Flip,79,Cherry Pie,Cherry Pie,['Pop'],1960,
179,Sam Cooke,80,Wonderful World,Wonderful World,"['Rhythm and blues', 'soul']",1960,1951–1964
180,Spencer Ross,81,"[""Tracy's Theme""]",Tracy's Theme,['Pop'],1960,
181,Lloyd Price,82,"""Lady Luck""","""Lady Luck""",[],1960,1952–2019
182,The Crests,83,"""Step by Step""","""Step by Step""",[],1960,1954–1978 1980-present
183,Paul Evans,84,"""Happy-Go-Lucky Me""","""Happy-Go-Lucky Me""",[],1960,1953–present
184,Ricky Nelson,85,Young Emotions,Young Emotions,['Ballad'],1960,1949–1985
185,Johnny Burnette,86,"[""Dreamin'""]",Dreamin',['Rockabilly'],1960,1952–1964
186,Johnny Tillotson,87,Poetry in Motion,Poetry in Motion,['Rock and roll'],1960,1957–present
187,Annette Funicello,88,"""O Dio Mio""","""O Dio Mio""",[],1960,1954–1998
188,Joe Jones,89,You Talk Too Much,You Talk Too Much,['R&B'],1960,
189,Johnny and the Hurricanes,90,Beatnik Fly,Beatnik Fly,"['Minstrel', 'folk']",1960,1957 1957 2005 2005
190,The Everly Brothers,91,When Will I Be Loved,When Will I Be Loved,['Country'],1960,1951–1973 1983–2005
191,Bob Luman,92,"[""Let's Think About Living""]",Let's Think About Living,['Rockabilly'],1960,1956–1978
192,Guy Mitchell,93,Heartaches by the Number,Heartaches by the Number,['Traditional pop'],1960,1947–1999
193,Anita Bryant,94,My Little Corner of the World,My Little Corner of the World,['Pop'],1960,1956–present
194,Jackie Wilson,95,"[""Doggin' Around""]",Doggin' Around,"['R&B', 'Pop']",1960,1953–1975
195,Bobby Rydell,96,Little Bitty Girl,Little Bitty Girl,['Pop'],1960,1950–2022
196,Barrett Strong,97,"[""Money (That's What I Want)""]",Money (That's What I Want),['Rhythm and blues'],1960,1959–2023
197,Maurice Williams and the Zodiacs,98,Stay,Stay,['Doo-wop'],1960,
198,Charlie Rich,99,"""Lonely Weekends""","""Lonely Weekends""",[],1960,1958–1995
199,Larry Hall,100,Sandy,Sandy,['Rockabilly'],1960,
200,Bobby Lewis,1, and Turnin,Tossin' and Turnin',['R&B'],1961,2020
201,Patsy Cline,2,I Fall to Pieces,I Fall to Pieces,['Country pop'],1961,1948–1963
202,The Highwaymen,3,Michael,Michael,['Folk'],1961,
203,Roy Orbison,4,Crying,Crying,['Countryrock'],1961,1953–1988
204,Del Shannon,5,Runaway,Runaway,"['Rock and roll', 'proto-synthpop']",1961,1958–1989
205,The Jive Five,6,My True Story,My True Story,['Doo-wop'],1961,
206,Chubby Checker,7,Pony Time,Pony Time,['R&B'],1961,1958–present
207,The String-A-Longs,8,Wheels,Wheels,['Instrumental'],1961,
208,Dee Clark,9,Raindrops,Raindrops,['R&B'],1961,1952–1990
209,Joe Dowell,10,Wooden Heart,Wooden Heart,"['Pop', 'folk']",1961,
210,Lawrence Welk,11,Calcutta,Calcutta,['Easy Listening'],1961,
211,Bobby Vee,12,Take Good Care of My Baby,Take Good Care of My Baby,"['Rock and roll', 'pop']",1961,1959–2014
212,Roy Orbison,13,Running Scared,Running Scared,"['Orchestral pop', 'Rock']",1961,1953–1988
213,The Shirelles,14,Dedicated to the One I Love,Dedicated to the One I Love,"['Pop', 'soul']",1961,1957–1982
214,The Mar-Keys,15,Last Night,Last Night,"['R&B', 'instrumental rock']",1961,
215,The Shirelles,16,Will You Love Me Tomorrow,Will You Love Me Tomorrow,['Brill Building'],1961,1957–1982
216,Ferrante & Teicher,17,"""Exodus""","""Exodus""",[],1961,1947–1989
217,Connie Francis,18,Where the Boys Are,Where the Boys Are,['Traditional pop'],1961,1943–2018
218,Ray Charles,19,Hit the Road Jack,Hit the Road Jack,['Rhythm and blues'],1961,1947–2004
219,Sue Thompson,20,Sad Movies (Make Me Cry),Sad Movies (Make Me Cry),"['Pop', 'Easy listening']",1961,1950
220,Ernie K-Doe,21,Mother-in-Law,Mother-in-Law,['R&B'],1961,1955–2001
221,The Dovells,22,Bristol Stomp,Bristol Stomp,['Doo-wop'],1961,
222,Ricky Nelson,23,"[""Travelin' Man""]",Travelin' Man,['Pop'],1961,1949–1985
223,The Miracles,24,Shop Around,Shop Around,['Soul'],1961,1955–1983 1993–2011
224,Brook Benton,25,The Boll Weevil Song,The Boll Weevil Song,['Delta blues'],1961,1948–1988
225,Gene McDaniels,26,A Hundred Pounds of Clay,A Hundred Pounds of Clay,['Soul'],1961,1960–2011
226,Dick and Dee Dee,27,"[""The Mountain's High""]",The Mountain's High,['Rock and roll'],1961,1960–1969
227,Marty Robbins,28,"[""Don't Worry""]",Don't Worry,['Country'],1961,1948–1982
228,Floyd Cramer,29,On the Rebound,On the Rebound,"['Folk', 'world', 'country']",1961,1953 1980
229,Steve Lawrence,30,Portrait of My Love,Portrait of My Love,['Traditional pop'],1961,1953–2019
230,Gary U.S. Bonds,31,Quarter to Three,Quarter to Three,['Doo-wop'],1961,1956–present
231,Barry Mann,32,"Who Put the Bomp (in the Bomp, Bomp, Bomp)","Who Put the Bomp (in the Bomp, Bomp, Bomp)",['Doo-wopNovelty songBubblegum pop (Sugaryline version)'],1961,1958–present
232,Neil Sedaka,33,Calendar Girl,Calendar Girl,['Brill Building'],1961,1957–present
233,Chris Kenner,34,I Like It Like That,I Like It Like That,['Pop rock'],1961,1956–1976
234,Jørgen Ingmann,35,Apache,Apache,['Instrumental rock'],1961,1944–1984
235,Linda Scott,36,"[""Don't Bet Money Honey""]",Don't Bet Money Honey,['Pop'],1961,1959
236,Johnny Tillotson,37,Without You,Without You,['Pop'],1961,1957–present
237,Ferlin Husky,38,Wings of a Dove,Wings of a Dove,['Country'],1961,1945–2011
238,Elvis Presley,39,Little Sister,Little Sister,"['Rock and roll', '']",1961,1953–1977
239,The Marcels,40,Blue Moon,Blue Moon,['Ballad'],1961,1959 1959 1962 1962 1972 1972
240,Shep and the Limelites,41,"[""Daddy's Home""]",Daddy's Home,['R&B'],1961,
241,Troy Shondell,42,This Time,This Time,['Rock and roll'],1961,1957
242,"Clarence ""Frogman"" Henry",43,"[""(I Don't Know Why) But I Do""]",(I Don't Know Why) But I Do,['R&B'],1961,1952–present
243,Kokomo,44,Asia Minor,Asia Minor,"['Rock', 'classical']",1961,1959–2018
244,Faron Young,45,Hello Walls,Hello Walls,['Country'],1961,1951–1994
245,Dion,46,Runaround Sue,Runaround Sue,['Doo-woprock and roll'],1961,1957–present
246,Arthur Lyman,47,Yellow Bird,Yellow Bird,['Calypso'],1961,1948–2002
247,Timi Yuro,48,Hurt,Hurt,['R&B'],1961,1961
248,Ricky Nelson,49,Hello Mary Lou,Hello Mary Lou,['Rockabilly'],1961,1949–1985
249,The Capris,50,"[""There's a Moon Out Tonight""]",There's a Moon Out Tonight,['Doo-wop'],1961,1957–1958 1960–present
250,Elvis Presley,51,Surrender,Surrender,['Rock and roll'],1961,1953–1977
251,The Paris Sisters,52,I Love How You Love Me,I Love How You Love Me,['Pop'],1961,1954–1968
252,Lee Dorsey,53,Ya Ya,Ya Ya,"['Soul', 'rock and roll']",1961,1986
253,Gary U.S. Bonds,54,School Is Out,School Is Out,['Rock and roll'],1961,1956–present
254,Bob Moore,55,Mexico,Mexico,"['Pop', 'country']",1961,1946–1988
255,Ral Donner,56,t Know What You,You Don't Know What You've Got (Until You Lose It),[],1961,
256,The Everly Brothers,57,Walk Right Back,Walk Right Back,['Rock'],1961,1951–1973 1983–2005
257,The Lettermen,58,The Way You Look Tonight,The Way You Look Tonight,"['Jazz', 'Popular Music']",1961,1959–present
258,Pat Boone,59,Moody River,Moody River,['Country pop'],1961,1954–present
259,Ray Charles,60,One Mint Julep,One Mint Julep,['R&B'],1961,1947–2004
260,Adam Wade,61,Take Good Care of Her,Take Good Care of Her,['Pop'],1961,1959–2022
261,Carla Thomas,62,Gee Whiz (Look at His Eyes),Gee Whiz (Look at His Eyes),['Memphis soul'],1961,1960–present
262,Ben E. King,63,Stand by Me,Stand by Me,['R&B'],1961,1958–2015
263,Ben E. King,64,Spanish Harlem,Spanish Harlem,['Soul'],1961,1958–2015
264,Ike and Tina Turner,65,"[""It's Gonna Work Out Fine""]",It's Gonna Work Out Fine,[],1961,1960–1976
265,The Echoes,66,Baby Blue,Baby Blue,['Pop'],1961,1960 1960 1965 1965
266,Buzz Clifford,67,"[""Baby Sittin' Boogie""]",Baby Sittin' Boogie,['Pop'],1961,
267,Del Shannon,68,Hats Off to Larry,Hats Off to Larry,['Rock and roll'],1961,1958–1989
268,Little Caesar & the Romans,69,Those Oldies but Goodies,Those Oldies but Goodies,['Doo-wop'],1961,
269,Chubby Checker,70,The Fly,The Fly,['Rock and roll'],1961,1958–present
270,Elvis Presley,71,"[""(Marie's the Name) His Latest Flame""]",(Marie's the Name) His Latest Flame,['Rock'],1961,1953–1977
271,Bert Kaempfert,72,Wonderland by Night,Wonderland by Night,['Jazz'],1961,1939–1980
272,Tony Orlando,73,Bless You,Bless You,['Pop'],1961,1958–present
273,Linda Scott,74,"[""I've Told Every Little Star""]",I've Told Every Little Star,['Pop'],1961,1959
274,Bobby Lewis,75,"""One Track Mind""","""One Track Mind""",[],1961,2020
275,Rosie and the Originals,76,Angel Baby,Angel Baby,['Doo-wop'],1961,1960–1963 1969–1973
276,Curtis Lee,77,Pretty Little Angel Eyes,Pretty Little Angel Eyes,"['Pop', 'doo-wop']",1961,1960–1968
277,Brook Benton,78,Think Twice,Think Twice,['Pop'],1961,1948–1988
278,Lonnie Donegan,79,Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?),Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?),"['Skiffle', 'novelty song']",1961,1949–2002
279,Connie Francis,80,"[""Breakin' in a Brand New Broken Heart""]",Breakin' in a Brand New Broken Heart,['Country pop'],1961,1943–2018
280,The Shirelles,81,Mama Said,Mama Said,['R&B'],1961,1957–1982
281,Fats Domino,82,"""Let the Four Winds Blow""","""Let the Four Winds Blow""",[],1961,1942–2017
282,Adam Wade,83,The Writing on the Wall,The Writing on the Wall,[],1961,1959–2022
283,Matt Monro,84,My Kind of Girl,My Kind of Girl,['Traditional pop'],1961,1956–1985
284,Paul Anka,85,"""Tonight My Love, Tonight""","""Tonight My Love, Tonight""",[],1961,1955–present
285,Floyd Cramer,86,San Antonio Rose,San Antonio Rose,['Western swing'],1961,1953 1980
